query,intent,sub_intents
如果一个单位没有“深入打击”技能但被放入战略预备队，它如何抵达战场？,rule,
突击蝎的“战蝎激光”技能效果是什么？,query,
在废墟地形中，模型之间的可见性如何判断，尤其是当模型位于废墟内部或外部时？,query,
幽冥领主的“宿命英雄”技能效果是什么？,query,
如果一个单位在回合结束时失去单位连续性，会发生什么？,query,
猩红猎手的“苍穹猎手”技能有什么特殊加成？,query,
如果一个规则允许忽略对属性或掷骰的修正，这意味着可以忽略哪些类型的修正？,query,
狂嚎女妖的“身手矫健”技能有什么效果？,query,
灵魂先知的“伊莎之泪（灵能）”技能有什么效果？,query,
丑角有多少个不同的单位,List,
艾达灵族有多少专属载具,List,
除了司战（Autarch），艾达灵族还有哪些人物模型可以装备死亡纺织者（Death Spinner）？,List,
艾达灵族有哪些单位可以使用手雷技能,List,
艾达灵族有哪些骑乘单位,List,
艾达灵族有哪些灵能者人物,List,
艾达灵族有哪些凤凰领主,List,
艾达灵族有哪些支派武士,List,
艾达灵族有哪些飞行步兵,List,
艾达灵族有哪些巨兽单位,List,
艾达灵族军队中有哪些武器拥有[洪流]（Torrent）技能？,List,
除了司战（Autarch），艾达灵族还有哪些人物模型可以装备死亡纺织者（Death Spinner）？,List,
钢铁军团有哪些近战步兵单位,List,
暴风骑士团有多少专属近战武器,List,
除了第一团长外，钢铁军团还有哪些人物可以使用战锤？,List,
灵族中有哪些单位可以进行远程打击,List,
混沌骑士团有哪些能够飞行的骑乘单位,List,
帝国有哪些类型的防御工事,List,
泰伦虫群中有哪些能使用重型武器的单位,List,
纯净分支有多少种精英单位,List,
艾达灵族中每种载具的 M 值各是多少,List,
血天使中有哪些单位可以使用手雷技能,List,
除了标准重步兵，死灵军团还拥有哪些重装单位？,List,
混沌军团有哪些英雄模型,List,
太空狼有哪些近战武器,List,
审判庭中的审判官有哪些专属武器,List,
黑暗天使有哪些能够隐形的单位,List,
除了格雷法克斯外，审判庭中还有哪些人物模型？,List,
帝国守卫中有哪些载具可装备火山炮,List,
机甲军中有哪些装甲步兵单位,List,
拉埃尔族有哪些灵能能力,List,
混沌猪骑有哪些特殊战吼技能,List,
帝国飞行部队有哪些战机型号,List,
混沌风暴分支有哪些单位可以使用致盲武器,List,
泰伦虫群有哪些适合突袭的近战单位,List,
艾达灵族中除了凤凰领主，还有哪些独立人物？,List,
混沌星际战士有哪些可以召唤混沌生物的单位,List,
帝国坦克有哪些可以使用等离子炮,List,
混沌领主有哪些增强护甲的法术,List,
灵能学院中有哪些人物模型可以施放恢复法术,List,
风暴战团中，暴风战士的M值和天启战士的M值相比，哪个更高？,Compare,Query
钢铁守护者能装备的近战武器中，哪种武器的AP值最高？,Compare,List
狂怒之拳和毁灭之锤哪个武器的S值更高？,Compare,Query
破晓之刃和夜影之爪哪个武器的AP值更高？,Compare,Query
雷霆坦克和毁灭坦克谁的T值更高？,Compare,Query
审判骑士能使用哪些重型武器？,List,Query
审判骑士的等离子加农炮和光束喷射器哪个S值更高？,Compare,Query
铁血骑士的等离子剑AP值和星辰骑士的能量斧AP值相比哪个更高？,Compare,Query
黑曜星舰中，哪种武器具有最高射程？,Compare,List
覆灭飞龙和毁灭机甲谁的M值更高？,Compare,Query
血色收割者投掷飞斧的S值和掠夺者投掷长矛的S值哪个更高？,Compare,Query
雷光战士的重型等离子枪AP值和毁灭力爆破枪的AP值哪个更高？,Compare,Query
利刃战士的能量剑S值和光热斩斧的S值哪个更高？,Compare,Query
"在暗夜魔女能装备的曲射武器里,那种武器射程最远",Compare,List
暗夜魔女的爆裂箭和火焰箭哪个射程更远？,Compare,Query
星际护卫的重型爆能枪AP值和激光步枪AP值哪个更高？,Compare,Query
泰伦虫后使用的毒液爪S值和王爪的S值哪个更高？,Compare,Query
骑士领主的雷霆战锤AP值和振荡长矛AP值哪个更高？,Compare,Query
机械军团的所有重型武器有哪些？,List,Query
机械军团的震荡榴弹和塑能火箭哪个AP值更高？,Compare,Query
圣殿驱逐舰的等离子炮S值和电磁炮S值哪个更高？,Compare,Query
"当一队风暴守护者需要进行战斗震慑测试时,必须投出哪些数值以上的结果才能通过测试",Rule,Query
"当一队单位用曲射武器去射击对方单位时, 哪些命中骰子的结果被视为命中",Rule,
"一把武器的 S 值为 3,它有针对步兵 3+的关键字, 当它去射击一个 T 值为 7 的步兵单位时,哪些造伤结果被视为成功造伤",Rule,
"一个联合单位有 13 个模型,当指挥阶段开始时他还剩下 6 个模型,此时他需要过战斗震慑测试吗?",Rule,
"当一个单位加速后,他还能使用手雷技能吗?",Rule,
"当一个单位进行撤退后,他还能执行任务动作吗?",Rule,
飞行器单位可以在移动阶段保持静止吗?,Rule,
"一台载具在玩家的增援阶段从战略预备队进入战场, 此时他需要摆放在对方单位的什么位置?",Rule,
当一支霜刃战士遭遇恐惧测试时，需要投出哪些掷骰结果才能保持稳定,Rule,
一把热能剑的AP值为-2，攻击护甲等级为3+的单位时，哪些投掷结果能穿透护甲造成伤害,Rule,
一支步兵连在指挥阶段损失了4个模型，是否需要进行战斗震慑测试,Rule,
当一队火焰喷射兵使用爆燃武器时，哪些命中结果被视为有效,Rule,
当一支机械战队进行士气检定时，需要投出哪些数值才能免除逃跑,Rule,
当一队支援单位携带曲射武器开火时，哪些掷骰结果算作命中,Rule,
一把爆破武器的射程为24英寸，进行曲射攻击时，哪些距离下的投掷符合射程规则,Rule,
一把爆破火箭的S值为8，攻击T值为8的装甲单位时，哪些造伤结果能摧毁装甲,Rule,
当一队狙击手进行精准射击时，哪些掷骰结果被视为致命一击,Rule,
